# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
3990;Verrechnete Stoffkosten (Gegenkonto zu 4000-99) Seite 21;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;KU;;;3999
4000;Material- und Stoffverbrauch Personalaufwendungen;aufwand;;;;Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren;V;;;4099
4100;Löhne und Gehälter;aufwand;;;Personalkosten;Löhne und Gehälter;;;;
4110;Löhne;aufwand;;;;Löhne und Gehälter;;;;
4120;Gehälter;aufwand;;;Personalkosten;Löhne und Gehälter;;;;
4124;Geschäftsführergehälter der GmbH-Gesellschafter;aufwand;;;;Löhne und Gehälter;;;;
4125;Ehegattengehalt;aufwand;;;;Löhne und Gehälter;;;;
4126;Tantiemen Gesellschafter- Geschäftsführer;aufwand;;;;Löhne und Gehälter;;;K;
4127;Geschäftsführergehälter;aufwand;;;;Löhne und Gehälter;;;;
4128;Vergütungen an angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Löhne und Gehälter;;;G;
4129;Tantiemen Arbeitnehmer;aufwand;;;;Löhne und Gehälter;;;K;
4130;Gesetzliche soziale Aufwendungen;aufwand;;;Personalkosten;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4137;Gesetzliche soziale Aufwendungen für Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;G;
4138;Beiträge zur Berufsgenossenschaft;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4139;Ausgleichsabgabe nach dem Schwerbehindertengesetz;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
4140;Freiwillige soziale Aufwendungen, lohnsteuerfrei;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4141;Sonstige soziale Abgaben;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4144;Soziale Abgaben für Minijobber;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4145;Freiwillige soziale Aufwendungen, lohnsteuerpflichtig;aufwand;;;;Löhne und Gehälter;;;;
4146;Freiwillige Zuwendungen an Minijobber;aufwand;;;;Löhne und Gehälter;;;;
4147;Freiwillige Zuwendungen an Gesellschafter-Geschäftsführer;aufwand;;;;Löhne und Gehälter;;;;
4148;Freiwillige Zuwendungen an angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Löhne und Gehälter;;;G;
4149;Pauschale Steuer auf sonstige Bezüge (z. B. Fahrtkostenzuschüsse);aufwand;;;;Löhne und Gehälter;;;;
4150;Krankengeldzuschüsse;aufwand;;;;Löhne und Gehälter;;;;
4151;Sachzuwendungen und Dienstleistungen an Minijobber;aufwand;;;;Löhne und Gehälter;;;;
4152;Sachzuwendungen und Dienstleistungen an Arbeitnehmer;aufwand;;;;Löhne und Gehälter;;;;
4153;Sachzuwendungen und Dienstleistungen an Gesellschafter- Geschäftsführer;aufwand;;;;Löhne und Gehälter;;;;
4154;Sachzuwendungen und Dienstleistungen an angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Löhne und Gehälter;;;GG;
4155;Zuschüsse der Agenturen für Arbeit (Haben);aufwand;;;;Löhne und Gehälter;;;;
4156;Aufwendungen aus der Veränderung von Urlaubsrückstellungen;aufwand;;;;Löhne und Gehälter;;;;
4157;Aufwendungen aus der Veränderung von Urlaubsrückstellungen für Gesellschafter-Geschäftsführer;aufwand;;;;Löhne und Gehälter;;;;
4158;Aufwendungen aus der Veränderung von Urlaubsrückstellungen für angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Löhne und Gehälter;;;G;
4159;Aufwendungen aus der Veränderung von Urlaubsrückstellungen für Minijobber;aufwand;;;;Löhne und Gehälter;;;;
4160;Versorgungskassen;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4165;Aufwendungen für Altersversorgung;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4166;Aufwendungen für Altersversorgung für Gesellschafter-Geschäftsführer;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4167;Pauschale Steuer auf sonstige Bezüge (z. B. Direktversicherungen);aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4168;Aufwendungen für Altersversorgung für Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;G;
4169;Aufwendungen für Unterstützung;aufwand;;;;Soziale Abgaben und Aufwendungen für Altersversorgung und für Unterstützung;;;;
4170;Vermögenswirksame Leistungen;aufwand;;;;Löhne und Gehälter;;;;
4175;Fahrtkostenerstattung - Wohnung/ Arbeitsstätte;aufwand;;;;Löhne und Gehälter;;;;
4180;Bedienungsgelder;aufwand;;;;Löhne und Gehälter;;;;
4190;Aushilfslöhne;aufwand;;;;Löhne und Gehälter;;;;
4194;Pauschale Steuer für Minijobber;aufwand;;;;Löhne und Gehälter;;;;
4195;Löhne für Minijobs;aufwand;;;;Löhne und Gehälter;;;;
4196;Pauschale Steuer für Gesellschafter- Geschäftsführer;aufwand;;;;Löhne und Gehälter;;;;
4197;Pauschale Steuer für angestellte Mitunternehmer § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Löhne und Gehälter;;;G;
4198;Pauschale Steuer für Arbeitnehmer;aufwand;;;;Löhne und Gehälter;;;;
4199;Pauschale Steuer für Aushilfen Sonstige betriebliche Aufwendungen und Abschreibungen;aufwand;;;;Löhne und Gehälter;;;;
4200;Raumkosten;aufwand;;;Raumkosten;Sonstige betriebliche Aufwendungen;V;;;
4210;Miete (unbewegliche Wirtschaftsgüter);aufwand;;;Raumkosten;Sonstige betriebliche Aufwendungen;V;;GK;
4211;Aufwendungen für gemietete oder gepachtete unbewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4212;Miete/Aufwendungen für doppelte Haushaltsführung Unternehmer;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4215;Leasing (unbewegliche Wirtschaftsgüter);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4219;Vergütungen an Mitunternehmer für die mietweise Überlassung ihrer unbeweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;G;
4220;Pacht (unbewegliche Wirtschaftsgüter);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4222;Vergütungen an Gesellschafter für die miet- oder pachtweise Überlassung ihrer unbeweglichen Wirtschaftsgüter Art.-Nr. 11174 2026-01-01;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;K;
4228;Miet- und Pachtnebenkosten, die gewerbesteuerlich nicht hinzuzurechnen sind;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4229;Vergütungen an Mitunternehmer für die pachtweise Überlassung ihrer unbeweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend);aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4230;Heizung;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4240;Gas, Strom, Wasser;aufwand;;;Raumkosten;Sonstige betriebliche Aufwendungen c;V;;;
4250;Reinigung;aufwand;;;Raumkosten;Sonstige betriebliche Aufwendungen c;V;;;
4260;Instandhaltung betrieblicher Räume;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4270;Abgaben für betrieblich genutzten Grundbesitz;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4280;Sonstige Raumkosten;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4287;Tagespauschale für die Tätigkeit in der häuslichen Wohnung;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4288;Aufwendungen für ein häusliches Arbeitszimmer (abziehbarer Anteil);aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4289;Aufwendungen für ein häusliches Arbeitszimmer (nicht abziehbarer Anteil);aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;G;
4290;Grundstücksaufwendungen betrieblich;aufwand;;;;Sonstige betriebliche Aufwendungen c;V;;;
4300;Nicht abziehbare Vorsteuer;aufwand;;;;Sonstige betriebliche Aufwendungen c;;;;
4301;Nicht abziehbare Vorsteuer 7 %;aufwand;;;;Sonstige betriebliche Aufwendungen c;;;;
4304;Sonstige betriebliche Aufwendungen c;aufwand;;;;Sonstige betriebliche Aufwendungen c;R;;;4305
4306;Nicht abziehbare Vorsteuer 19 %;aufwand;;;;Sonstige betriebliche Aufwendungen c;;;;
4320;Gewerbesteuer;aufwand;;;;Steuern vom Einkommen und vom Ertrag;;;GK;
4340;Sonstige Betriebssteuern;aufwand;;;;Sonstige Steuern;;;;
4350;Verbrauchsteuer (sonstige Steuern);aufwand;;;;Sonstige Steuern;;;;
4355;Ökosteuer;aufwand;;;;Sonstige Steuern;;;;
4360;Versicherungen;aufwand;;;Versicherungen/Beitraege;Sonstige betriebliche Aufwendungen;;;;
4366;Versicherungen für Gebäude;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
4370;Netto-Prämie für Rückdeckung künftiger Versorgungsleistungen;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
4380;Beiträge;aufwand;;;Versicherungen/Beitraege;Sonstige betriebliche Aufwendungen;;;;
4390;Sonstige Abgaben;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
4396;Steuerlich abzugsfähige Verspätungszuschläge und Zwangsgelder;aufwand;;;;Sonstige betriebliche Aufwendungen;;;;
4397;Steuerlich nicht abzugsfähige Verspätungszuschläge und Zwangsgelder;aufwand;;;;Sonstige betriebliche Aufwendungen;;;GK;
4400;(zur freien Verfügung);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;4499
4500;Fahrzeugkosten 18);aufwand;;;Fahrzeugkosten;Sonstige betriebliche Aufwendungen;V;;;
4510;Kfz-Steuer;aufwand;;;;Sonstige Steuern;KU;;;
4520;Fahrzeug-Versicherungen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4530;Laufende Fahrzeug-Betriebskosten;aufwand;;;Fahrzeugkosten;Sonstige betriebliche Aufwendungen;V;;;
4540;Fahrzeug-Reparaturen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4550;Garagenmiete;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4560;Mautgebühren;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4570;Mietleasing Kfz;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4575;Mietleasingaufwendungen für Elektrofahrzeuge und Fahrräder, die gewerbesteuerlich hinzuzurechnen sind;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4580;Sonstige Fahrzeugkosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4590;Kosten für betrieblich genutzte zum Privatvermögen gehörende Fahrzeuge;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4595;Fremdfahrzeugkosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4600;Werbekosten;aufwand;;;Werbe-/Reisekosten;Sonstige betriebliche Aufwendungen;V;;;
4605;Streuartikel;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4630;Geschenke abzugsfähig ohne § 37b EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4631;Geschenke abzugsfähig mit § 37b EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4632;Pauschale Steuer für Geschenke und Zuwendungen abzugsfähig;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4635;Geschenke nicht abzugsfähig ohne § 37b EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4636;Geschenke nicht abzugsfähig mit § 37b EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4637;Pauschale Steuer für Geschenke und Zuwendungen nicht abzugsfähig;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4638;Geschenke ausschließlich betrieblich genutzt;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4639;Zugaben mit § 37b EStG;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4640;Repräsentationskosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4650;Bewirtungskosten;aufwand;;;Werbe-/Reisekosten;Sonstige betriebliche Aufwendungen;V;;;
4651;Sonstige eingeschränkt abziehbare Betriebsausgaben (abziehbarer Anteil);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4652;Sonstige eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4653;Aufmerksamkeiten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4654;Nicht abzugsfähige Bewirtungskosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4655;Nicht abzugsfähige Betriebsausgaben aus Werbe- und Repräsentationskosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4660;Reisekosten Arbeitnehmer;aufwand;;;Werbe-/Reisekosten;Sonstige betriebliche Aufwendungen;V;;;
4663;Reisekosten Arbeitnehmer Fahrtkosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4664;Reisekosten Arbeitnehmer Verpflegungsmehraufwand;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4666;Reisekosten Arbeitnehmer Übernachtungsaufwand;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4667;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
4668;Kilometergelderstattung Arbeitnehmer;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4670;Reisekosten Unternehmer 18);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4672;Reisekosten Unternehmer (nicht abziehbarer Anteil);aufwand;;;;Sonstige betriebliche Aufwendungen;V;;G;
4673;Reisekosten Unternehmer Fahrtkosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4674;Reisekosten Unternehmer Verpflegungsmehraufwand;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4675;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
4676;Reisekosten Unternehmer Übernachtungsaufwand und Reisenebenkosten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4677;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
4678;Fahrten zwischen Wohnung und Betriebsstätte und Familienheimfahrten (abziehbarer Anteil) - Fahrzeuge im Betriebsvermögen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4679;Fahrten zwischen Wohnung und Betriebsstätte und Familienheimfahrten (nicht abziehbarer Anteil) - Fahrzeuge im Betriebsvermögen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;G;
4680;Fahrten zwischen Wohnung und Betriebsstätte und Familienheimfahrten (Haben) - Fahrzeuge im Betriebsvermögen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4681;Verpflegungsmehraufwendungen im Rahmen der doppelten Haushaltsführung Unternehmer;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4685;Sonstige betriebliche Aufwendungen;aufwand;;;;Sonstige betriebliche Aufwendungen;R;;;
4700;Kosten der Warenabgabe;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4710;Verpackungsmaterial;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4730;Ausgangsfrachten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4750;Transportversicherungen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4760;Verkaufsprovisionen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4780;Fremdarbeiten (Vertrieb) Seite 23;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4790;Aufwand für Gewährleistungen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4800;Reparaturen und Instandhaltungen von technischen Anlagen und Maschinen;aufwand;;;Reparatur/Instandhaltung;Sonstige betriebliche Aufwendungen;V;;;
4801;Reparaturen und Instandhaltung von Bauten;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4805;Reparaturen und Instandhaltungen von anderen Anlagen und Betriebs- und Geschäftsausstattung;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4806;Wartungskosten für Hard- und Software;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4808;Zuführung zu Aufwandsrückstellungen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4809;Sonstige Reparaturen und Instandhaltungen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;;
4810;Mietleasing bewegliche Wirtschaftsgüter für technische Anlagen und Maschinen;aufwand;;;;Sonstige betriebliche Aufwendungen;V;;GK;
4815;Kaufleasing;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;V;;;
4822;Abschreibungen auf immaterielle Vermögensgegenstände;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4823;Abschreibungen auf selbst geschaffene immaterielle Vermögensgegenstände;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;HB;;
4824;Abschreibungen auf den Geschäfts- oder Firmenwert;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4825;Außerplanmäßige Abschreibungen auf den Geschäfts- oder Firmenwert;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4826;Außerplanmäßige Abschreibungen auf immaterielle Vermögensgegenstände;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4827;Außerplanmäßige Abschreibungen auf selbst geschaffene immaterielle Vermögensgegenstände;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;HB;;
4830;Abschreibungen auf Sachanlagen (ohne AfA auf Fahrzeuge und Gebäude);aufwand;;;Abschreibungen;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4831;Abschreibungen auf Gebäude;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4832;Abschreibungen auf Fahrzeuge;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4833;Abschreibungen auf Gebäudeanteil des häuslichen Arbeitszimmers;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4840;Außerplanmäßige Abschreibungen auf Sachanlagen;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4841;Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung der Gebäude;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4842;Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung der Fahrzeuge;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4843;Absetzung für außergewöhnliche technische und wirtschaftliche Abnutzung sonstiger Wirtschaftsgüter;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;SB;;
4850;Abschreibungen auf Sachanlagen auf Grund steuerlicher Sondervorschriften;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4851;Sonderabschreibungen nach § 7g Abs. 5 EStG (ohne Fahrzeuge);aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;SB;;
4852;Sonderabschreibungen nach § 7g Abs. 5 EStG (für Fahrzeuge);aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;SB;;
4853;Kürzung der Anschaffungs- oder Herstellungskosten nach § 7g Abs. 2 EStG (ohne Fahrzeuge);aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;SB;;
4854;Kürzung der Anschaffungs- oder Herstellungskosten nach § 7g Abs. 2 EStG (für Fahrzeuge);aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4855;Sofortabschreibung geringwertiger Wirtschaftsgüter;aufwand;;;Abschreibungen;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4856;Sonderabschreibungen nach § 7b EStG (Mietwohnungsneubau);aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;SB;;
4859;Abzugsbetrag nach § 6b EStG;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;SB;;
4860;Abschreibungen auf aktivierte, geringwertige Wirtschaftsgüter;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4862;Abschreibungen auf den Sammelposten Wirtschaftsgüter;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4865;Außerplanmäßige Abschreibungen auf aktivierte, geringwertige Wirtschaftsgüter;aufwand;;;;Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen;;;;
4866;Abschreibungen auf Finanzanlagen (nicht dauerhaft);aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;HB;;
4870;Abschreibungen auf Finanzanlagen (dauerhaft);aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;;
4871;Abschreibungen auf Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG (dauerhaft) 9);aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;GK;
4872;Aufwendungen auf Grund von Verlustanteilen an gewerblichen und selbständigen Mitunternehmerschaften, § 8 GewStG bzw. § 18 EStG 23);aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;GK;
4873;Abschreibungen auf Finanzanlagen auf Grund § 6b EStG-Rücklage, § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG 9);aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;SB;GK;
4874;Abschreibungen auf Finanzanlagen auf Grund § 6b EStG-Rücklage;aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;SB;;
4875;Abschreibungen auf Wertpapiere des Umlaufvermögens;aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;;
4876;Abschreibungen auf Wertpapiere des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG 9);aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;GK;
4877;Abschreibungen auf Finanzanlagen - verbundene Unternehmen;aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;;
4878;Abschreibungen auf Wertpapiere des Umlaufvermögens - verbundene Unternehmen;aufwand;;;;Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens;;;;
4880;Abschreibungen auf sonstige Vermögensgegenstände des Umlaufvermögens (soweit unüblich hoch);aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;;;;
4882;Abschreibungen auf Umlaufvermögen, steuerrechtlich bedingt (soweit unüblich hoch);aufwand;;;;Abschreibung auf Vermögensgegenstände des Umlaufvermögens, soweit diese die üblichen Abschreibungen überschreiten;;SB;;
